survey_title,Acropora.Arborescent.Staghorn,Acropora.Bottlebrush,Acropora.Branching.Other,Acropora.corymbose.other,Acropora.digitate,Acropora.millepora,Acropora.table,Acropora.tenuis,Anemone,Articulate.Clacareous,Astreopora,Canopy.forming,Clams,Columnar,Coralline.Algae,COT,Diploastrea,Echinopora,Encrusting,Feather.stars,Fire.Coral.Encrusting,Fire.Coral.Massive,Flower.like.Massive,Foliose.Lettuce.like.other.,Foliose.Plate.like.other.,Fundiidae.free.living,Goniastrea,Laminate,Leptoria,Lobophyllia,Marker.Dumbbells,Marker.Sphere.Tree,Massive.other,Mix.algea.sediment,Mix.algea_sponge,Mobile.other,Montipora,Other.Alga,other.Branching.Non.acropora.Arborescent,other.Branching.Non.acropora.Coarse,other.Branching.Non.acropora.fine,Pachyseris,Platygyra,Pocillopora.acuta,Pocillopora.damicornis,Pocillopora.eydouxi,Pocillopora.other,Pocillopora.verrucosa,Porites.massive,Rubble.Consolidate,Rubble.loose,Sand,Sea.cucumber,Seriatopora.hystrix,Sheet.like.membraneous,Soft.Coral.Branching,Soft.coral.Fan,Soft.coral.Massive,Soft.coral.organ.pipe,Soft.coral.other,Soft.coral.Whip,Sponge.Crust,Sponge.Erect,Sponge.hollow,Sponge.Massive,Sponge.Other,Starfish.,Stylophora.pistillata,Turf,Unidentifiable,Water,Zoanthid,date.(UTC),year,reef,reef_pooled,site,habitat,zone,site_latitude,site_longitude,plot,cluster,survey_id,site_id,date
CBHE_BA1D_P1_202105_42,0.904761905,0.333333333,0.380952381,3.19047619,0.714285714,0,1.80952381,0,0.0,0.142857143,0.476190476,0.0,0.047619048,0.0,3.380952381,0,0.142857143,0.047619048,7.333333333,0.047619048,0,0.0,0.19047619,0.0,0.19047619,0.047619048,0.476190476,0.047619048,0.047619048,0.904761905,0.619047619,0.095238095,4.285714286,0,0,0.047619048,2.952380952,0.0,0.047619048,0.19047619,0,0.047619048,0.476190476,0.0,0.238095238,0.0,0.0,0.571428571,0.666666667,0.047619048,1.142857143,2.19047619,0.0,0.333333333,0.0,2.380952381,0.047619048,2.047619048,0.047619048,0.0,0.047619048,0.0,0.047619048,0.0,0.0,0.0,0,0.047619048,60.42857143,0.095238095,0.0,0.0,2021-05-01T10:00:00+0000,2021,CBHE,CBHE,BA1,BA,D,-23.44764618,151.9578134,1,CB,84083,17885,202105
CBHE_BA1D_P1_202205_42,0.571428571,0.380952381,0.380952381,5.857142857,0.619047619,0,2.428571429,0,0.0,0.142857143,0.142857143,0.285714286,0.047619048,0.0,1.380952381,0,0.095238095,0.047619048,7.095238095,0.047619048,0,0.0,0.142857143,0.0,0.333333333,0.0,0.238095238,0.0,0.142857143,0.428571429,0.142857143,0.047619048,2.095238095,0,0,0.0,6.0,0.0,0.095238095,0.285714286,0,0.142857143,0.523809524,0.047619048,0.333333333,0.0,0.0,0.19047619,0.80952381,0.0,0.238095238,0.619047619,0.047619048,0.142857143,0.0,1.952380952,0.333333333,3.19047619,0.0,0.142857143,0.0,0.047619048,0.19047619,0.0,0.0,0.0,0,0.047619048,61.52380952,0.0,0.0,0.0,2022-05-01T10:00:00+0000,2022,CBHE,CBHE,BA1,BA,D,-23.44764618,151.9578134,1,CB,84861,17885,202205
CBHE_BA1D_P1_202305_42,1.666666667,0.428571429,0.19047619,2.380952381,0.047619048,0,3.19047619,0,0.0,0.333333333,0.0,0.238095238,0.095238095,0.0,1.714285714,0,0.095238095,0.047619048,5.857142857,0.047619048,0,0.0,0.19047619,0.047619048,0.428571429,0.19047619,0.047619048,0.0,0.333333333,0.380952381,0.238095238,0.285714286,1.476190476,0,0,0.047619048,5.047619048,0.0,0.047619048,0.047619048,0,0.047619048,0.285714286,0.0,0.333333333,0.0,0.0,0.0,0.714285714,0.0,0.047619048,0.428571429,0.0,0.380952381,0.0,2.666666667,0.380952381,4.19047619,0.0,0.142857143,0.047619048,0.0,0.238095238,0.0,0.047619048,0.0,0,0.142857143,64.71428571,0.0,0.047619048,0.0,2023-05-01T10:00:00+0000,2023,CBHE,CBHE,BA1,BA,D,-23.44764618,151.9578134,1,CB,86205,17885,202305
CBHE_BA1D_P2_202105_42,1.230769231,0.205128205,0.307692308,5.333333333,0.615384615,0,2.0,0,0.0,0.102564103,0.41025641,0.0,0.051282051,0.102564103,2.102564103,0,0.102564103,0.461538462,8.205128205,0.051282051,0,0.0,0.051282051,0.102564103,0.666666667,0.051282051,0.102564103,0.0,0.820512821,0.41025641,0.205128205,0.666666667,1.897435897,0,0,0.205128205,4.051282051,0.0,0.051282051,0.307692308,0,0.0,0.512820513,0.0,0.307692308,0.0,0.0,0.051282051,1.794871795,0.0,1.948717949,6.102564103,0.0,0.256410256,0.051282051,2.820512821,0.0,4.871794872,0.0,0.051282051,0.0,0.051282051,0.051282051,0.0,0.0,0.0,0,0.153846154,50.0,0.051282051,0.0,0.051282051,2021-05-01T10:00:00+0000,2021,CBHE,CBHE,BA1,BA,D,-23.44764618,151.9578134,2,CB,84084,17885,202105
CBHE_BA1D_P2_202205_42,1.619047619,0.333333333,0.142857143,6.0,0.476190476,0,2.0,0,0.0,0.047619048,0.19047619,0.047619048,0.047619048,0.0,0.428571429,0,0.047619048,0.0,5.0,0.047619048,0,0.0,0.047619048,0.0,0.904761905,0.047619048,0.19047619,0.0,0.428571429,0.333333333,0.19047619,0.285714286,1.571428571,0,0,0.142857143,5.476190476,0.0,0.0,0.238095238,0,0.333333333,0.142857143,0.047619048,0.0,0.0,0.0,0.047619048,1.333333333,0.0,0.761904762,5.047619048,0.0,0.380952381,0.047619048,2.476190476,0.142857143,3.285714286,0.0,0.047619048,0.0,0.0,0.095238095,0.047619048,0.047619048,0.0,0,0.0,59.42857143,0.0,0.0,0.0,2022-05-01T10:00:00+0000,2022,CBHE,CBHE,BA1,BA,D,-23.44764618,151.9578134,2,CB,84862,17885,202205
CBHE_BA1D_P2_202305_42,0.571428571,0.0,0.285714286,4.095238095,0.19047619,0,0.857142857,0,0.0,0.19047619,0.095238095,0.047619048,0.095238095,0.0,2.571428571,0,0.047619048,0.142857143,6.619047619,0.095238095,0,0.0,0.047619048,0.047619048,0.666666667,0.142857143,0.19047619,0.0,0.380952381,1.19047619,0.80952381,0.619047619,1.238095238,0,0,0.095238095,7.0,0.0,0.0,0.666666667,0,0.142857143,0.428571429,0.0,0.047619048,0.0,0.0,0.19047619,2.142857143,0.0,0.095238095,3.523809524,0.0,0.476190476,0.047619048,3.285714286,0.047619048,3.142857143,0.0,0.047619048,0.095238095,0.047619048,0.19047619,0.095238095,0.095238095,0.0,0,0.0,56.71428571,0.047619048,0.0,0.095238095,2023-05-01T10:00:00+0000,2023,CBHE,CBHE,BA1,BA,D,-23.44764618,151.9578134,2,CB,86206,17885,202305
CBHE_BA1D_P3_202105_42,0.714285714,0.0,0.214285714,2.642857143,0.714285714,0,0.785714286,0,0.0,0.0,0.642857143,0.0,0.071428571,0.0,2.071428571,0,0.071428571,0.142857143,9.5,0.0,0,0.0,0.071428571,0.0,0.0,0.0,1.214285714,0.0,0.214285714,0.5,0.785714286,0.428571429,3.214285714,0,0,0.0,1.5,0.0,0.0,0.214285714,0,0.0,0.285714286,0.0,0.214285714,0.0,0.0,0.285714286,0.357142857,0.0,1.357142857,2.428571429,0.0,0.214285714,0.071428571,1.0,0.0,2.571428571,0.0,0.0,0.0,0.071428571,0.142857143,0.071428571,0.0,0.0,0,0.214285714,64.5,0.357142857,0.0,0.142857143,2021-05-01T10:00:00+0000,2021,CBHE,CBHE,BA1,BA,D,-23.44764618,151.9578134,3,CB,84085,17885,202105
CBHE_BA1D_P3_202205_42,2.476190476,0.19047619,0.095238095,3.095238095,0.523809524,0,0.80952381,0,0.0,0.0,0.333333333,0.19047619,0.0,0.0,1.238095238,0,0.047619048,0.095238095,8.904761905,0.095238095,0,0.0,0.095238095,0.047619048,0.523809524,0.047619048,0.19047619,0.0,0.095238095,0.476190476,0.142857143,0.285714286,1.476190476,0,0,0.285714286,4.476190476,0.0,0.047619048,0.476190476,0,0.047619048,0.238095238,0.047619048,0.047619048,0.0,0.0,0.095238095,0.380952381,0.0,0.142857143,0.952380952,0.047619048,0.476190476,0.0,4.142857143,0.19047619,3.333333333,0.0,0.0,0.0,0.047619048,0.095238095,0.0,0.047619048,0.0,0,0.095238095,62.80952381,0.0,0.0,0.0,2022-05-01T10:00:00+0000,2022,CBHE,CBHE,BA1,BA,D,-23.44764618,151.9578134,3,CB,84863,17885,202205
CBHE_BA1D_P3_202305_42,1.047619048,0.333333333,0.047619048,3.714285714,0.19047619,0,1.19047619,0,0.0,0.142857143,0.047619048,0.142857143,0.19047619,0.0,4.333333333,0,0.0,0.047619048,8.380952381,0.047619048,0,0.0,0.095238095,0.0,0.19047619,0.047619048,0.095238095,0.0,0.095238095,0.714285714,0.428571429,0.285714286,2.333333333,0,0,0.142857143,2.904761905,0.0,0.0,0.19047619,0,0.0,0.238095238,0.0,0.095238095,0.0,0.0,0.19047619,0.380952381,0.0,0.095238095,0.523809524,0.095238095,0.333333333,0.047619048,4.047619048,0.095238095,2.80952381,0.0,0.0,0.0,0.142857143,0.047619048,0.0,0.095238095,0.0,0,0.047619048,63.33333333,0.0,0.0,0.0,2023-05-01T10:00:00+0000,2023,CBHE,CBHE,BA1,BA,D,-23.44764618,151.9578134,3,CB,86207,17885,202305
CBHE_BA1D_P4_202105_42,0.7,0.1,0.1,3.65,0.35,0,1.3,0,0.0,0.05,0.8,0.15,0.1,0.0,3.95,0,0.1,0.6,9.5,0.0,0,0.0,0.25,0.0,0.15,0.2,0.4,0.05,0.0,0.95,0.6,0.2,1.65,0,0,0.05,11.5,0.0,0.05,0.0,0,0.05,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.0,0.15,0.05,0.0,0.45,0.0,4.8,0.1,2.45,0.0,0.45,0.0,0.05,0.05,0.0,0.0,0.0,0,0.15,53.0,0.05,0.0,0.0,2021-05-01T10:00:00+0000,2021,CBHE,CBHE,BA1,BA,D,-23.44764618,151.9578134,4,CB,84086,17885,202105
