survey_title,HC,OT,A,AB,SC,SP,date.(UTC),year,reef,reef_pooled,site,habitat,zone,site_latitude,site_longitude,plot,cluster,survey_id,site_id,date
CBHE_BA1D_P1_202105_42,27.04761905,0.142857143,64.0,4.19047619,4.571428571,0.047619048,2021-05-01T10:00:00+0000,2021,CBHE,CBHE,BA1,BA,D,-23.44764618,151.9578134,1,CB,84083,17885,202105
CBHE_BA1D_P1_202205_42,29.61904762,0.142857143,63.33333333,1.047619048,5.619047619,0.238095238,2022-05-01T10:00:00+0000,2022,CBHE,CBHE,BA1,BA,D,-23.44764618,151.9578134,1,CB,84861,17885,202205
CBHE_BA1D_P1_202305_42,24.04761905,0.19047619,67.0,1.047619048,7.428571429,0.285714286,2023-05-01T10:00:00+0000,2023,CBHE,CBHE,BA1,BA,D,-23.44764618,151.9578134,1,CB,86205,17885,202305
CBHE_BA1D_P2_202105_42,30.56410256,0.358974359,52.25641026,8.974358974,7.743589744,0.102564103,2021-05-01T10:00:00+0000,2021,CBHE,CBHE,BA1,BA,D,-23.44764618,151.9578134,2,CB,84084,17885,202105
CBHE_BA1D_P2_202205_42,27.33333333,0.238095238,60.0,6.285714286,5.952380952,0.19047619,2022-05-01T10:00:00+0000,2022,CBHE,CBHE,BA1,BA,D,-23.44764618,151.9578134,2,CB,84862,17885,202205
CBHE_BA1D_P2_202305_42,27.9047619,0.380952381,59.57142857,5.095238095,6.619047619,0.428571429,2023-05-01T10:00:00+0000,2023,CBHE,CBHE,BA1,BA,D,-23.44764618,151.9578134,2,CB,86206,17885,202305
CBHE_BA1D_P3_202105_42,23.92857143,0.214285714,66.64285714,5.357142857,3.571428571,0.285714286,2021-05-01T10:00:00+0000,2021,CBHE,CBHE,BA1,BA,D,-23.44764618,151.9578134,3,CB,84085,17885,202105
CBHE_BA1D_P3_202205_42,25.95238095,0.428571429,64.23809524,1.523809524,7.666666667,0.19047619,2022-05-01T10:00:00+0000,2022,CBHE,CBHE,BA1,BA,D,-23.44764618,151.9578134,3,CB,84863,17885,202205
CBHE_BA1D_P3_202305_42,22.95238095,0.476190476,68.0,1.333333333,6.952380952,0.285714286,2023-05-01T10:00:00+0000,2023,CBHE,CBHE,BA1,BA,D,-23.44764618,151.9578134,3,CB,86207,17885,202305
CBHE_BA1D_P4_202105_42,33.7,0.15,57.2,1.05,7.8,0.1,2021-05-01T10:00:00+0000,2021,CBHE,CBHE,BA1,BA,D,-23.44764618,151.9578134,4,CB,84086,17885,202105
CBHE_BA1D_P4_202205_42,37.76190476,0.095238095,55.42857143,0.904761905,5.619047619,0.19047619,2022-05-01T10:00:00+0000,2022,CBHE,CBHE,BA1,BA,D,-23.44764618,151.9578134,4,CB,84864,17885,202205
CBHE_BA1D_P4_202305_42,36.04761905,0.19047619,54.28571429,0.857142857,8.333333333,0.285714286,2023-05-01T10:00:00+0000,2023,CBHE,CBHE,BA1,BA,D,-23.44764618,151.9578134,4,CB,86208,17885,202305
CBHE_BA1S_P1_202105_42,43.9,0.1,52.1,1.75,2.15,0.0,2021-05-01T10:00:00+0000,2021,CBHE,CBHE,BA1,BA,S,-23.44764618,151.9578134,1,CB,84087,17885,202105
CBHE_BA1S_P1_202205_42,43.0952381,0.0,54.23809524,0.714285714,1.904761905,0.047619048,2022-05-01T10:00:00+0000,2022,CBHE,CBHE,BA1,BA,S,-23.44764618,151.9578134,1,CB,84865,17885,202205
CBHE_BA1S_P1_202305_42,31.85714286,0.428571429,64.14285714,0.428571429,2.952380952,0.19047619,2023-05-01T10:00:00+0000,2023,CBHE,CBHE,BA1,BA,S,-23.44764618,151.9578134,1,CB,86209,17885,202305
