survey_title,Acropora.Arborescent.Staghorn,Acropora.Branching.Other,Acropora.corymbose,Acropora.digitate,Acropora.tab,Other,Articulate.Clacareous,Massive,Canopy.forming,Columnar,Coralline.Algae,Foliose.Plate.like,Encrusting,FireCoral,Foliose.Lettuce.like,Freeliving,Laminate,Abiotic,Mix.algea.sediment,Mix.algea_sponge,Other.Alga,other.Branching.Non.acropora,Pocillopora,Seriatopora.hystrix,Sheet.like.membraneous,Soft.Coral.Branching,Soft.coral.Fan,Soft.coral.Massive,Soft.coral.organ.pipe,Soft.coral.other,Soft.coral.Whip,Sponge.Crust,Sponge.Erect,Sponge.hollow,Sponge.Massive,Sponge.Other,Stylophora.pistillata,Turf,date.(UTC),year,reef,reef_pooled,site,habitat,zone,site_latitude,site_longitude,plot,cluster,survey_id,site_id,date
CBHE_BA1D_P1_202105_42,0.904761905,0.714285714,3.19047619,0.714285714,1.80952381,0.142857143,0.142857143,7.666666667,0.0,0.0,3.380952381,3.238095238,7.333333333,0.0,0.0,0.047619048,0.047619048,4.19047619,0,0,0.0,0.238095238,0.80952381,0.333333333,0.0,2.380952381,0.047619048,2.047619048,0.047619048,0.0,0.047619048,0.0,0.047619048,0.0,0.0,0.0,0.047619048,60.42857143,2021-05-01T10:00:00+0000,2021,CBHE,CBHE,BA1,BA,D,-23.44764618,151.9578134,1,CB,84083,17885,202105
CBHE_BA1D_P1_202205_42,0.571428571,0.761904762,5.857142857,0.619047619,2.428571429,0.142857143,0.142857143,4.619047619,0.285714286,0.0,1.380952381,6.523809524,7.095238095,0.0,0.0,0.0,0.0,1.047619048,0,0,0.0,0.380952381,0.571428571,0.142857143,0.0,1.952380952,0.333333333,3.19047619,0.0,0.142857143,0.0,0.047619048,0.19047619,0.0,0.0,0.0,0.047619048,61.52380952,2022-05-01T10:00:00+0000,2022,CBHE,CBHE,BA1,BA,D,-23.44764618,151.9578134,1,CB,84861,17885,202205
CBHE_BA1D_P1_202305_42,1.666666667,0.619047619,2.380952381,0.047619048,3.19047619,0.19047619,0.333333333,3.523809524,0.238095238,0.0,1.714285714,5.571428571,5.857142857,0.0,0.047619048,0.19047619,0.0,1.047619048,0,0,0.0,0.095238095,0.333333333,0.380952381,0.0,2.666666667,0.380952381,4.19047619,0.0,0.142857143,0.047619048,0.0,0.238095238,0.0,0.047619048,0.0,0.142857143,64.71428571,2023-05-01T10:00:00+0000,2023,CBHE,CBHE,BA1,BA,D,-23.44764618,151.9578134,1,CB,86205,17885,202305
CBHE_BA1D_P2_202105_42,1.230769231,0.512820513,5.333333333,0.615384615,2.0,0.358974359,0.102564103,6.102564103,0.0,0.102564103,2.102564103,5.179487179,8.205128205,0.0,0.102564103,0.051282051,0.0,8.974358974,0,0,0.0,0.358974359,0.358974359,0.256410256,0.051282051,2.820512821,0.0,4.871794872,0.0,0.051282051,0.0,0.051282051,0.051282051,0.0,0.0,0.0,0.153846154,50.0,2021-05-01T10:00:00+0000,2021,CBHE,CBHE,BA1,BA,D,-23.44764618,151.9578134,2,CB,84084,17885,202105
CBHE_BA1D_P2_202205_42,1.619047619,0.476190476,6.0,0.476190476,2.0,0.238095238,0.047619048,4.285714286,0.047619048,0.0,0.428571429,6.714285714,5.0,0.0,0.0,0.047619048,0.0,6.285714286,0,0,0.0,0.238095238,0.095238095,0.380952381,0.047619048,2.476190476,0.142857143,3.285714286,0.0,0.047619048,0.0,0.0,0.095238095,0.047619048,0.047619048,0.0,0.0,59.42857143,2022-05-01T10:00:00+0000,2022,CBHE,CBHE,BA1,BA,D,-23.44764618,151.9578134,2,CB,84862,17885,202205
CBHE_BA1D_P2_202305_42,0.571428571,0.285714286,4.095238095,0.19047619,0.857142857,0.380952381,0.19047619,5.761904762,0.047619048,0.0,2.571428571,7.952380952,6.619047619,0.0,0.047619048,0.142857143,0.0,5.095238095,0,0,0.0,0.666666667,0.238095238,0.476190476,0.047619048,3.285714286,0.047619048,3.142857143,0.0,0.047619048,0.095238095,0.047619048,0.19047619,0.095238095,0.095238095,0.0,0.0,56.71428571,2023-05-01T10:00:00+0000,2023,CBHE,CBHE,BA1,BA,D,-23.44764618,151.9578134,2,CB,86206,17885,202305
CBHE_BA1D_P3_202105_42,0.714285714,0.214285714,2.642857143,0.714285714,0.785714286,0.214285714,0.0,6.571428571,0.0,0.0,2.071428571,1.642857143,9.5,0.0,0.0,0.0,0.0,5.357142857,0,0,0.0,0.214285714,0.5,0.214285714,0.071428571,1.0,0.0,2.571428571,0.0,0.0,0.0,0.071428571,0.142857143,0.071428571,0.0,0.0,0.214285714,64.5,2021-05-01T10:00:00+0000,2021,CBHE,CBHE,BA1,BA,D,-23.44764618,151.9578134,3,CB,84085,17885,202105
CBHE_BA1D_P3_202205_42,2.476190476,0.285714286,3.095238095,0.523809524,0.80952381,0.428571429,0.0,3.333333333,0.19047619,0.0,1.238095238,5.142857143,8.904761905,0.0,0.047619048,0.047619048,0.0,1.523809524,0,0,0.0,0.523809524,0.19047619,0.476190476,0.0,4.142857143,0.19047619,3.333333333,0.0,0.0,0.0,0.047619048,0.095238095,0.0,0.047619048,0.0,0.095238095,62.80952381,2022-05-01T10:00:00+0000,2022,CBHE,CBHE,BA1,BA,D,-23.44764618,151.9578134,3,CB,84863,17885,202205
CBHE_BA1D_P3_202305_42,1.047619048,0.380952381,3.714285714,0.19047619,1.19047619,0.476190476,0.142857143,4.0,0.142857143,0.0,4.333333333,3.142857143,8.380952381,0.0,0.0,0.047619048,0.0,1.333333333,0,0,0.0,0.19047619,0.285714286,0.333333333,0.047619048,4.047619048,0.095238095,2.80952381,0.0,0.0,0.0,0.142857143,0.047619048,0.0,0.095238095,0.0,0.047619048,63.33333333,2023-05-01T10:00:00+0000,2023,CBHE,CBHE,BA1,BA,D,-23.44764618,151.9578134,3,CB,86207,17885,202305
CBHE_BA1D_P4_202105_42,0.7,0.2,3.65,0.35,1.3,0.15,0.05,4.65,0.15,0.0,3.95,12.3,9.5,0.0,0.0,0.2,0.05,1.05,0,0,0.0,0.05,0.2,0.45,0.0,4.8,0.1,2.45,0.0,0.45,0.0,0.05,0.05,0.0,0.0,0.0,0.15,53.0,2021-05-01T10:00:00+0000,2021,CBHE,CBHE,BA1,BA,D,-23.44764618,151.9578134,4,CB,84086,17885,202105
