Year,Location,Site,Percent_Cover
2005,LTER 1 Fringing Reef Coral Transect Pole 1-2 Quadrat 1,LTER 1,77.5
2005,LTER 1 Fringing Reef Coral Transect Pole 1-2 Quadrat 2,LTER 1,20.7
2005,LTER 1 Fringing Reef Coral Transect Pole 1-2 Quadrat 3,LTER 1,6.7
2005,LTER 1 Fringing Reef Coral Transect Pole 1-2 Quadrat 4,LTER 1,25.1
2005,LTER 1 Fringing Reef Coral Transect Pole 1-2 Quadrat 5,LTER 1,47.6
2005,LTER 1 Fringing Reef Coral Transect Pole 1-2 Quadrat 6,LTER 1,2.4
2005,LTER 1 Fringing Reef Coral Transect Pole 1-2 Quadrat 7,LTER 1,10.1
2005,LTER 1 Fringing Reef Coral Transect Pole 1-2 Quadrat 8,LTER 1,71.3
2005,LTER 1 Fringing Reef Coral Transect Pole 2-3 Quadrat 1,LTER 1,32.3
2005,LTER 1 Fringing Reef Coral Transect Pole 2-3 Quadrat 2,LTER 1,23.5
2005,LTER 1 Fringing Reef Coral Transect Pole 2-3 Quadrat 3,LTER 1,15.1
2005,LTER 1 Fringing Reef Coral Transect Pole 2-3 Quadrat 4,LTER 1,47.3
2005,LTER 1 Fringing Reef Coral Transect Pole 2-3 Quadrat 5,LTER 1,44.2
2005,LTER 1 Fringing Reef Coral Transect Pole 2-3 Quadrat 6,LTER 1,36.8
2005,LTER 1 Fringing Reef Coral Transect Pole 2-3 Quadrat 7,LTER 1,24.5
2005,LTER 1 Fringing Reef Coral Transect Pole 2-3 Quadrat 8,LTER 1,12.2
2005,LTER 1 Fringing Reef Coral Transect Pole 3-4 Quadrat 1,LTER 1,10.3
2005,LTER 1 Fringing Reef Coral Transect Pole 3-4 Quadrat 2,LTER 1,25.3
2005,LTER 1 Fringing Reef Coral Transect Pole 3-4 Quadrat 3,LTER 1,18.2
2005,LTER 1 Fringing Reef Coral Transect Pole 3-4 Quadrat 4,LTER 1,10.8
2005,LTER 1 Fringing Reef Coral Transect Pole 3-4 Quadrat 5,LTER 1,7.0
2005,LTER 1 Fringing Reef Coral Transect Pole 3-4 Quadrat 7,LTER 1,12.7
2005,LTER 1 Fringing Reef Coral Transect Pole 3-4 Quadrat 8,LTER 1,43.4
2005,LTER 1 Fringing Reef Coral Transect Pole 4-5 Quadrat 1,LTER 1,79.4
2005,LTER 1 Fringing Reef Coral Transect Pole 4-5 Quadrat 2,LTER 1,2.4
2005,LTER 1 Fringing Reef Coral Transect Pole 4-5 Quadrat 3,LTER 1,1.8
2005,LTER 1 Fringing Reef Coral Transect Pole 4-5 Quadrat 5,LTER 1,42.1
2005,LTER 1 Fringing Reef Coral Transect Pole 4-5 Quadrat 6,LTER 1,10.3
2005,LTER 1 Fringing Reef Coral Transect Pole 4-5 Quadrat 7,LTER 1,28.6
2005,LTER 1 Fringing Reef Coral Transect Pole 4-5 Quadrat 8,LTER 1,48.8
2005,LTER 1 Fringing Reef Coral Transect Pole 5-6 Quadrat 2,LTER 1,1.2
2005,LTER 1 Fringing Reef Coral Transect Pole 5-6 Quadrat 3,LTER 1,24.6
2005,LTER 1 Fringing Reef Coral Transect Pole 5-6 Quadrat 4,LTER 1,5.9
2005,LTER 1 Fringing Reef Coral Transect Pole 5-6 Quadrat 7,LTER 1,48.4
2005,LTER 1 Fringing Reef Coral Transect Pole 5-6 Quadrat 8,LTER 1,12.3
2005,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 1,LTER 1,6.4
2005,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 2,LTER 1,22.450000000000003
2005,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 3,LTER 1,16.166666666666668
2005,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 4,LTER 1,12.825000000000001
2005,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 5,LTER 1,8.325
2005,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 6,LTER 1,30.6
2005,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 7,LTER 1,10.0
2005,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 8,LTER 1,15.833333333333334
