Year,Site,Percent_Cover
2005,LTER 1,15.523461538461538
2005,LTER 2,16.833948339483396
2005,LTER 3,10.474347826086957
2005,LTER 4,13.382116788321166
2005,LTER 5,13.900363636363636
2005,LTER 6,9.11520737327189
2006,LTER 1,16.80703125
2006,LTER 2,14.81843137254902
2006,LTER 3,11.085355648535565
2006,LTER 4,12.9431654676259
2006,LTER 5,15.623636363636363
2006,LTER 6,8.87037037037037
2007,LTER 1,6.432
2007,LTER 2,4.8322388059701495
2007,LTER 3,3.2315707620528773
2007,LTER 4,5.0656923076923075
2007,LTER 5,5.944822256568779
2007,LTER 6,3.225975975975976
2008,LTER 1,4.151681415929203
2008,LTER 2,4.4245762711864405
2008,LTER 3,1.3726495726495727
2008,LTER 4,5.131452991452992
2008,LTER 5,5.995438596491228
2008,LTER 6,2.098983050847458
2009,LTER 1,3.1498245614035087
2009,LTER 2,3.3971428571428572
2009,LTER 3,0.8078260869565217
2009,LTER 4,2.374736842105263
2009,LTER 5,4.736869565217391
2009,LTER 6,0.9294117647058824
2010,LTER 1,2.504655172413793
2010,LTER 2,2.5529850746268656
2010,LTER 3,0.5438461538461539
2010,LTER 4,1.431145038167939
2010,LTER 5,3.2882445141065832
2010,LTER 6,0.5263157894736842
2011,LTER 1,1.4906015037593985
2011,LTER 2,1.2983050847457624
2011,LTER 3,0.29584859584859585
2011,LTER 4,1.1100484261501211
2011,LTER 5,2.542733990147783
2011,LTER 6,0.3339901477832512
2012,LTER 1,0.71564039408867
2012,LTER 2,1.139655172413793
2012,LTER 3,0.3454212454212454
2012,LTER 4,1.0296010296010296
2012,LTER 5,2.5253968253968258
2012,LTER 6,0.5860837438423645
2013,LTER 1,1.10472049689441
2013,LTER 2,1.366056166056166
2013,LTER 3,0.45591133004926104
2013,LTER 4,1.413913043478261
2013,LTER 5,2.6427236315086784
2013,LTER 6,1.04
2014,LTER 1,1.9604010025062657
2014,LTER 2,1.614408866995074
2014,LTER 3,0.6235588972431078
2014,LTER 4,1.29818401937046
2014,LTER 5,2.812210012210012
2014,LTER 6,1.4490314769975787
2015,LTER 1,3.1491228070175437
2015,LTER 2,2.3030525030525033
2015,LTER 3,0.6942612942612942
2015,LTER 4,1.7492346938775512
2015,LTER 5,3.6391041162227604
2015,LTER 6,2.024310776942356
2016,LTER 1,4.027204968944099
2016,LTER 2,2.807142857142857
2016,LTER 3,0.8570175438596491
2016,LTER 4,2.732142857142857
2016,LTER 5,4.509689440993789
2016,LTER 6,2.464957264957265
2017,LTER 1,4.583185840707965
2017,LTER 2,3.7772167487684727
2017,LTER 3,0.865992414664981
2017,LTER 4,2.869172932330827
2017,LTER 5,5.246583850931677
2017,LTER 6,3.0197336561743344
2018,LTER 1,5.037391304347826
2018,LTER 2,4.518421052631579
2018,LTER 3,1.2391304347826086
2018,LTER 4,3.5889440993788817
2018,LTER 5,6.2838669950738915
2018,LTER 6,3.547899159663866
2019,LTER 1,5.357512315270936
2019,LTER 2,4.843345543345544
2019,LTER 3,1.5099378881987577
2019,LTER 4,3.604679802955665
2019,LTER 5,6.361003861003861
2019,LTER 6,3.648859543817527
2020,LTER 1,2.0404968944099378
2020,LTER 2,2.603907203907204
2020,LTER 3,1.2740147783251232
2020,LTER 4,3.112364945978391
2020,LTER 5,4.570108043217287
2020,LTER 6,1.8815126050420168
2021,LTER 1,2.0789473684210527
2021,LTER 2,2.0956521739130434
2021,LTER 3,1.5895652173913042
2021,LTER 4,2.934600262123198
2021,LTER 5,4.556265664160401
2021,LTER 6,1.3522588522588523
2022,LTER 1,1.6961490683229814
2022,LTER 2,1.7245962732919253
2022,LTER 3,1.4714285714285715
2022,LTER 4,2.8019875776397516
2022,LTER 5,3.638471177944862
2022,LTER 6,1.2116995073891625
