Site,Year,Coral_percent_cover
Cabritte Horn,1992,6.752941176470588
Cabritte Horn,1993,8.688749999999999
Cabritte Horn,1994,6.566666666666666
Cabritte Horn,1995,5.001176470588235
Cabritte Horn,1996,6.135294117647058
Cabritte Horn,1997,6.117647058823529
Cabritte Horn,1998,8.875
Cabritte Horn,1999,6.3500000000000005
Cabritte Horn,2000,5.429411764705883
Cabritte Horn,2001,9.876923076923077
Cabritte Horn,2002,8.699523809523809
Cabritte Horn,2003,8.682368421052631
Cabritte Horn,2004,10.035897435897436
Cabritte Horn,2005,8.535277777777777
Cabritte Horn,2006,7.8549999999999995
Cabritte Horn,2007,4.592285714285714
Cabritte Horn,2008,4.215121951219512
Cabritte Horn,2009,5.02025
Cabritte Horn,2010,8.20925
Cabritte Horn,2011,8.61975
Cabritte Horn,2012,9.501818181818182
Cabritte Horn,2013,5.0895
Cabritte Horn,2014,6.1375
Cabritte Horn,2015,6.218999999999999
Cabritte Horn,2016,6.183333333333334
Cabritte Horn,2017,6.743589743589744
Cabritte Horn,2018,5.89575
Cabritte Horn,2019,6.525853658536586
East Tektite,1992,6.529411764705882
East Tektite,1993,7.046470588235294
East Tektite,1994,6.642777777777777
East Tektite,1995,8.319411764705883
East Tektite,1996,4.720000000000001
East Tektite,1997,6.383333333333334
East Tektite,1998,5.735294117647059
East Tektite,1999,6.507777777777778
East Tektite,2000,5.463888888888889
East Tektite,2001,4.0024999999999995
East Tektite,2002,5.61575
East Tektite,2003,6.114
East Tektite,2004,5.6925
East Tektite,2005,7.662439024390243
East Tektite,2006,4.694871794871795
East Tektite,2007,5.10575
East Tektite,2008,4.9512820512820515
East Tektite,2009,4.823
East Tektite,2010,5.46175
East Tektite,2011,4.551282051282051
East Tektite,2012,4.169756097560976
East Tektite,2013,5.3245
East Tektite,2014,5.3625
East Tektite,2015,3.86
East Tektite,2016,5.3615
East Tektite,2017,3.825
East Tektite,2018,4.795853658536585
East Tektite,2019,4.332
Europa Bay,1992,4.0058823529411764
Europa Bay,1993,2.72625
Europa Bay,1994,1.8672222222222221
Europa Bay,1995,0.6058823529411765
Europa Bay,1996,0.8117647058823528
Europa Bay,1997,1.41
Europa Bay,1998,3.328235294117647
Europa Bay,1999,3.326470588235294
Europa Bay,2000,2.254054054054054
Europa Bay,2001,2.5149999999999997
Europa Bay,2002,1.6902439024390243
Europa Bay,2003,1.5102857142857142
Europa Bay,2004,0.8564102564102564
Europa Bay,2005,1.4739024390243902
Europa Bay,2006,1.3
Europa Bay,2007,2.45075
Europa Bay,2008,1.9730769230769232
Europa Bay,2009,2.1875
Europa Bay,2010,2.788684210526316
Europa Bay,2011,1.8333333333333333
Europa Bay,2012,1.5878571428571429
Europa Bay,2013,2.41275
Europa Bay,2014,2.41025641025641
Europa Bay,2015,2.9387499999999998
Europa Bay,2016,2.865945945945946
Europa Bay,2017,1.9487179487179487
Europa Bay,2018,1.98
Europa Bay,2019,1.34525
Neptune's Table,1992,3.0823529411764703
Neptune's Table,1993,0.9066666666666666
Neptune's Table,1994,1.4466666666666665
Neptune's Table,1995,2.0125
Neptune's Table,1996,0.99375
Neptune's Table,1997,2.176470588235294
Neptune's Table,1998,1.78125
Neptune's Table,1999,0.425625
Neptune's Table,2000,0.4486486486486487
Neptune's Table,2001,0.5868421052631579
Neptune's Table,2002,1.536
Neptune's Table,2003,1.55625
Neptune's Table,2004,1.5275
Neptune's Table,2005,1.5055882352941177
Neptune's Table,2006,1.2256410256410255
Neptune's Table,2007,1.5145
Neptune's Table,2008,1.4007692307692308
Neptune's Table,2009,2.0477499999999997
Neptune's Table,2010,1.8370000000000002
Neptune's Table,2011,1.1425
Neptune's Table,2012,1.201
Neptune's Table,2013,1.1019999999999999
