Year,Site,Stony_coral_cover
2005,1,45.00886075949367
2005,2,39.221686746987956
2005,3,34.948750000000004
2005,4,38.23975903614458
2005,5,33.06785714285714
2005,6,24.72235294117647
2006,1,44.10987654320988
2006,2,28.027380952380955
2006,3,37.84197530864197
2006,4,35.946913580246914
2006,5,36.16547619047619
2006,6,23.679761904761904
2007,1,45.99746835443038
2007,2,19.446987951807227
2007,3,30.628205128205128
2007,4,33.459493670886076
2007,5,33.56547619047619
2007,6,27.709411764705884
2008,1,17.025641025641026
2008,2,12.22168674698795
2008,3,9.004878048780487
2008,4,26.613414634146345
2008,5,25.144444444444446
2008,6,15.196428571428571
2009,1,7.09620253164557
2009,2,5.146428571428571
2009,3,3.0851851851851855
2009,4,10.830379746835444
2009,5,16.85679012345679
2009,6,4.75764705882353
2010,1,2.0975308641975308
2010,2,3.0638554216867466
2010,3,3.534177215189873
2010,4,6.81875
2010,5,8.648717948717948
2010,6,2.88641975308642
2011,1,1.6225
2011,2,2.1285714285714286
2011,3,2.8219512195121954
2011,4,5.121686746987952
2011,5,8.157142857142858
2011,6,3.7313253012048193
2012,1,3.2382716049382716
2012,2,3.8759036144578314
2012,3,2.7804878048780486
2012,4,4.601315789473684
2012,5,8.37710843373494
2012,6,6.036144578313253
2013,1,9.341975308641976
2013,2,8.210714285714285
2013,3,3.701234567901235
2013,4,8.555555555555555
2013,5,12.802631578947368
2013,6,11.102380952380953
2014,1,19.258024691358028
2014,2,14.269047619047617
2014,3,5.39
2014,4,12.167469879518071
2014,5,16.10595238095238
2014,6,15.13764705882353
2015,1,32.55949367088608
2015,2,23.098809523809525
2015,3,6.0841463414634145
2015,4,17.61875
2015,5,21.718072289156627
2015,6,22.046341463414635
2016,1,41.555
2016,2,28.738271604938273
2016,3,8.19113924050633
2016,4,26.52469135802469
2016,5,26.14814814814815
2016,6,27.343373493975903
2017,1,47.0367088607595
2017,2,37.875903614457826
2017,3,10.259493670886076
2017,4,27.417721518987342
2017,5,33.393975903614454
2017,6,34.15238095238095
2018,1,51.4575
2018,2,44.380722891566265
2018,3,14.47375
2018,4,34.41975308641975
2018,5,41.0855421686747
2018,6,39.11764705882353
2019,1,53.629629629629626
2019,2,47.40357142857143
2019,3,15.128048780487806
2019,4,33.54938271604938
2019,5,41.0
2019,6,38.97529411764706
