Year,Site,Stony_coral_cover
1992,Cabritte Horn,6.752941176470588
1992,East Tektite,6.529411764705882
1992,Europa Bay,4.0058823529411764
1992,West Little Lameshur,1.0823529411764705
1992,West Tektite,3.0823529411764703
1992,White Point,1.288235294117647
1993,Cabritte Horn,8.68125
1993,East Tektite,7.047058823529412
1993,Europa Bay,2.725
1993,West Little Lameshur,1.9
1993,West Tektite,0.9133333333333333
1993,White Point,5.26875
1994,Cabritte Horn,6.561111111111111
1994,East Tektite,6.638888888888889
1994,Europa Bay,1.8611111111111112
1994,West Little Lameshur,2.09375
1994,West Tektite,1.4444444444444444
1994,White Point,3.25
1995,Cabritte Horn,5.0
1995,East Tektite,8.31764705882353
1995,Europa Bay,0.6058823529411764
1995,West Little Lameshur,2.4058823529411764
1995,West Tektite,2.0125
1995,White Point,4.5
1996,Cabritte Horn,6.135294117647058
1996,East Tektite,4.720000000000001
1996,Europa Bay,0.8117647058823528
1996,West Little Lameshur,4.78421052631579
1996,West Tektite,0.99375
1996,White Point,3.564705882352941
1997,Cabritte Horn,6.117647058823529
1997,East Tektite,6.383333333333334
1997,Europa Bay,1.41
1997,West Little Lameshur,2.4210526315789473
1997,West Tektite,2.176470588235294
1997,White Point,5.10625
1998,Cabritte Horn,8.875
1998,East Tektite,5.735294117647059
1998,Europa Bay,3.3294117647058825
1998,West Little Lameshur,1.911764705882353
1998,West Tektite,1.78125
1998,White Point,4.125
1999,Cabritte Horn,6.341176470588235
1999,East Tektite,6.5055555555555555
1999,Europa Bay,3.323529411764706
1999,West Little Lameshur,1.9352941176470588
1999,West Tektite,0.425
1999,White Point,4.2375
2000,Cabritte Horn,5.429411764705883
2000,East Tektite,5.463888888888889
2000,Europa Bay,2.254054054054054
2000,West Little Lameshur,0.8542857142857142
2000,West Tektite,0.4486486486486487
2000,White Point,3.5628571428571427
2001,Cabritte Horn,9.876923076923077
2001,East Tektite,4.0024999999999995
2001,Europa Bay,2.5149999999999997
2001,West Little Lameshur,1.5088235294117647
2001,West Tektite,0.5868421052631579
2001,White Point,4.2846153846153845
2002,Cabritte Horn,8.7
2002,East Tektite,5.61
