Site,Data_Source,ISO_Date,Year,Month,Day,Temperature
unitless,unitless,unitless,unitless,unitless,unitless,degrees Celsius (degC)
LTER2,LTER0,2005-01-01,2005,1,1,28.25
LTER2,LTER0,2005-01-02,2005,1,2,28.52
LTER2,LTER0,2005-01-03,2005,1,3,28.39
LTER2,LTER0,2005-01-04,2005,1,4,28.69
LTER2,LTER0,2005-01-05,2005,1,5,28.9
LTER2,LTER0,2005-01-06,2005,1,6,28.67
LTER2,LTER0,2005-01-07,2005,1,7,28.48
LTER2,LTER0,2005-01-08,2005,1,8,28.46
LTER2,LTER0,2005-01-09,2005,1,9,28.58
LTER2,LTER0,2005-01-10,2005,1,10,28.73
LTER2,LTER0,2005-01-11,2005,1,11,28.76
LTER2,LTER0,2005-01-12,2005,1,12,28.66
LTER2,LTER0,2005-01-13,2005,1,13,28.61
LTER2,LTER0,2005-01-14,2005,1,14,28.82
LTER2,LTER0,2005-01-15,2005,1,15,28.8
LTER2,LTER0,2005-01-16,2005,1,16,28.71
LTER2,LTER0,2005-01-17,2005,1,17,28.74
LTER2,LTER0,2005-01-18,2005,1,18,28.66
LTER2,LTER0,2005-01-19,2005,1,19,28.82
LTER2,LTER0,2005-01-20,2005,1,20,28.97
LTER2,LTER0,2005-01-21,2005,1,21,28.82
LTER2,LTER0,2005-01-22,2005,1,22,28.91
LTER2,LTER0,2005-01-23,2005,1,23,29.22
LTER2,LTER0,2005-01-24,2005,1,24,29.15
LTER2,LTER0,2005-01-25,2005,1,25,29.16
LTER2,LTER0,2005-01-26,2005,1,26,29.11
LTER2,LTER0,2005-01-27,2005,1,27,29.09
LTER2,LTER0,2005-01-28,2005,1,28,29.04
LTER2,LTER0,2005-01-29,2005,1,29,29.01
LTER2,LTER0,2005-01-30,2005,1,30,29.04
LTER2,LTER0,2005-01-31,2005,1,31,29.17
LTER2,LTER0,2005-02-01,2005,2,1,29.12
LTER2,LTER0,2005-02-02,2005,2,2,28.97
LTER2,LTER0,2005-02-03,2005,2,3,28.76
LTER2,LTER0,2005-02-04,2005,2,4,28.55
LTER2,LTER0,2005-02-05,2005,2,5,28.51
LTER2,LTER0,2005-02-06,2005,2,6,28.64
LTER2,LTER0,2005-02-07,2005,2,7,28.62
LTER2,LTER0,2005-02-08,2005,2,8,28.55
LTER2,LTER0,2005-02-09,2005,2,9,28.44
LTER2,LTER0,2005-02-10,2005,2,10,28.45
LTER2,LTER0,2005-02-11,2005,2,11,28.4
LTER2,LTER0,2005-02-12,2005,2,12,28.29
LTER2,LTER0,2005-02-13,2005,2,13,28.19
LTER2,LTER0,2005-02-14,2005,2,14,28.18
LTER2,LTER0,2005-02-15,2005,2,15,28.18
LTER2,LTER0,2005-02-16,2005,2,16,28.17
LTER2,LTER0,2005-02-17,2005,2,17,28.18
LTER2,LTER0,2005-02-18,2005,2,18,28.18
LTER2,LTER0,2005-02-19,2005,2,19,28.08
LTER2,LTER0,2005-02-20,2005,2,20,27.94
LTER2,LTER0,2005-02-21,2005,2,21,27.72
LTER2,LTER0,2005-02-22,2005,2,22,27.9
LTER2,LTER0,2005-02-23,2005,2,23,28.1
LTER2,LTER0,2005-02-24,2005,2,24,28.15
LTER2,LTER0,2005-02-25,2005,2,25,28.28
LTER2,LTER0,2005-02-26,2005,2,26,28.48
LTER2,LTER0,2005-02-27,2005,2,27,28.43
LTER2,LTER0,2005-02-28,2005,2,28,28.49
LTER2,LTER0,2005-03-01,2005,3,1,28.61
LTER2,LTER0,2005-03-02,2005,3,2,28.64
LTER2,LTER0,2005-03-03,2005,3,3,28.73
LTER2,LTER0,2005-03-04,2005,3,4,28.73
LTER2,LTER0,2005-03-05,2005,3,5,28.65
LTER2,LTER0,2005-03-06,2005,3,6,28.79
LTER2,LTER0,2005-03-07,2005,3,7,28.9
LTER2,LTER0,2005-03-08,2005,3,8,28.78
LTER2,LTER0,2005-03-09,2005,3,9,28.72
