Site (Name or ID),LATITUDE,LONGITUDE
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.386483,145.5726
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.390217,145.57345
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
16028S,-16.383517,145.57095
